ts_utc,symbol,last_close,pred_close,d_pct,status
2025-10-27 10:37:18,AAPL,262.82,262.62,-0.08,OK
2025-10-27 10:37:18,NVDA,186.26,186.61,0.19,OK
2025-10-27 10:37:18,AMD,252.92,253.68,0.30,OK
2025-10-27 10:37:18,TSLA,433.72,433.73,0.00,OK
2025-10-27 10:37:18,AMZN,224.21,223.93,-0.13,OK
2025-10-27 10:37:18,GOOGL,259.92,260.21,0.11,OK
2025-10-27 10:37:18,MSFT,523.61,523.19,-0.08,OK
2025-10-27 10:37:18,KO,69.71,69.76,0.07,OK
2025-10-27 13:46:20,AAPL,264.96,257.27,-2.90,OK
2025-10-27 13:46:20,NVDA,190.73,179.66,-5.81,OK
2025-10-27 13:46:20,AMD,255.17,253.43,-0.68,OK
2025-10-27 13:46:20,TSLA,446.08,441.96,-0.92,OK
2025-10-27 13:46:20,AMZN,227.37,224.83,-1.12,OK
2025-10-27 13:46:20,GOOGL,264.90,256.83,-3.05,OK
2025-10-27 13:46:20,MSFT,529.71,532.86,0.59,OK
2025-10-27 13:46:20,KO,69.55,69.46,-0.13,OK
2025-10-27 20:53:16,AAPL,268.81,268.81,0.00,OK
2025-10-27 20:53:16,NVDA,191.49,192.33,0.44,OK
2025-10-27 20:53:16,AMD,259.67,259.71,0.01,OK
2025-10-27 20:53:16,TSLA,452.42,454.24,0.40,OK
2025-10-27 20:53:16,AMZN,226.97,227.30,0.14,OK
2025-10-27 20:53:16,GOOGL,269.27,269.91,0.24,OK
2025-10-27 20:53:16,MSFT,531.52,531.87,0.07,OK
2025-10-27 20:53:16,KO,70.06,69.97,-0.12,OK
